1280.11283	0
1280.11168	0
1280.11024	0
1280.11040	0
1280.11725	0
1280.11321	0
1280.11200	0
1280.16841	1
1280.29779	1
1280.29879	1
1280.29973	1
1280.29999	1
1280.30033	1
1280.30248	1
1280.30298	1
1280.26102	1
1280.11178	0
1280.11245	0
1280.11346	0
1280.11297	0
1280.29748	1
1280.29743	1
1280.29907	1
1280.29928	1
1280.30000	1
1280.30115	1
1280.30305	1
1280.30338	1
1280.30379	1
1280.30408	1
1280.16555	1
1280.29738	1
1280.29741	1
1280.29815	1
1280.29889	1
1280.30476	1
1280.30107	1
1280.30179	1
1280.30233	1
1280.30268	1
1280.30357	1
1280.30374	1
1280.30415	1
1280.30434	1
1280.30456	1
1280.11264	0
1280.11251	0
1280.11232	0
1280.10948	0
1280.16385	0
1280.29697	1
1280.29752	1
1280.29952	1
1280.29979	1
1280.29970	1
1280.30004	1
1280.30022	1
1280.30054	1
1280.30118	1
1280.30283	1
1280.26097	1
1280.11295	0
1280.11273	0
1280.11271	0
1280.16862	1
1280.29800	1
1280.30021	1
1280.30035	1
1280.30067	1
1280.30058	1
1280.30106	1
1280.30117	1
1280.30223	1
1280.30300	1
1280.30452	1
1280.26100	1
1280.26112	1
1280.26116	1
1280.11166	0
1280.11189	0
1280.11703	0
1280.11307	0
1280.29695	1
1280.30071	1
1280.30154	1
1280.30269	1
1280.30301	1
1280.30383	1
1280.30411	1
1280.30455	1
1280.26083	1
1280.11037	0
1280.11339	0
1280.11353	0
1280.11349	0
1280.11191	0
1280.11190	0
1280.29726	1
1280.29735	1
1280.29762	1
1280.29825	1
1280.29853	1
1280.30201	1
1280.30314	1
1280.30377	1
1280.11263	0
1280.11235	0
1280.11222	0
1280.11296	0
1280.16550	1
1280.29821	1
1280.29878	1
1280.29874	1
1280.29910	1
1280.30040	1
1280.30189	1
1280.30262	1
1280.30312	1
1280.30373	1
1280.30438	1
1280.11275	0
1280.11231	0
1280.11322	0
1280.11313	0
1280.16384	1
1280.29729	1
1280.29775	1
1280.29822	1
1280.29909	1
1280.29956	1
1280.29957	1
1280.30064	1
1280.30194	1
1280.30389	1
1280.30403	1
